last_step,rcp_number,rcp_name,rcp_method,rcp_keyword,rcp_allergy,rcp_type,rcp_ingredient,rcp_ingredient_cnt,rcp_cooktime,rcp_picture
14,15,돼지고기목살스테이크,굽기,일상,돼지고기,메인반찬,[재료] 돼지고기 목살 | 통마늘- | 계란 [돼지고기 밑간] 소금 약간 | 후추 약간씩 | 밀가루 [소스] 버터(대략) | 케찹 | 설탕 | 간장 | 식초 | 물,12,30,https://recipe1.ezmember.co.kr/cache/recipe/2018/03/14/2526a2c3977e766b3621f9f1ecd5d80d1.jpg
5,16,참치계란간장밥,비빔,초스피드,쌀,밥/죽/떡,[재료] 밥 | 계란 | 참치 | 대파 약간 [양념] 간장.~ | 참기름 | 깨,7,5,https://recipe1.ezmember.co.kr/cache/recipe/2018/08/22/ed4298f7c819d1e00986c53c6b5e3e0f1.jpg
8,17,부타동,볶음,일상,돼지고기,밥/죽/떡,[재료] 대패삼겹살 | 양파 | 달걀 노른자 | 설탕 [양념장] 간장. | 맛술 | 설탕 | 다진마늘,8,30,https://recipe1.ezmember.co.kr/cache/recipe/2018/12/17/50be1cadb80ac917f3bb3ecd63c8ada31.jpg
5,18,우유달걀카레,끓이기,초스피드,가공식품류,밥/죽/떡,[재료] 카레가루. | 우유 | 달걀 | 양파 | 통조림 햄 제일 작은거,5,15,https://recipe1.ezmember.co.kr/cache/recipe/2018/12/16/8d523c42974f8f5d5d7fd79bbab908e61.jpg
11,19,간장파스타,볶음,일상,가공식품류,면/만두,[재료] 파스타면() | 양파 | 베이컨 | 마늘 | 청양고추 | 올리브유(또는식용유) 조금 [양념] 간장 | 참기름 | 설탕,9,30,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/11/8e3599561387b3bdafb9e99864cc4df01.jpg
6,20,갈릭마요새우,볶음,일상,해물류,메인반찬,[재료] 냉동새우 [양념] 마요네즈 | 다진마늘 | 설탕 [새우 밑간] 후추 약간 | 소금 약간,6,15,https://recipe1.ezmember.co.kr/cache/recipe/2017/07/10/092788fb72da830f79991bde7d9c68831.jpg
6,21,멸치육수잔치국수,끓이기,일상,밀가루,면/만두,[재료] 소면 | 김가루 | 송송 썰은파 약간 [육수재료] 다시멸치 | 물 | 국간장 | 소금 | 다진마늘 약간 [김치양념] 송송 썰은 김치 | 통깨 | 설탕 | 참기름 약간,12,30,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/d019742b17f10f9addf54c4d6d19c94d.jpg
9,22,토마토달걀볶음,볶음,초스피드,달걀/유제품,밑반찬,[재료] 토마토 | 달걀 | 우유 | 버터 | 소금 | 후추 | 쪽파,7,10,https://recipe1.ezmember.co.kr/cache/recipe/2018/09/05/89c6250edd7c8321dc523e555d2a8ec61.jpg
7,23,떡꼬치,부침,간식,쌀,밥/죽/떡,[재료] 떡 | 깨 | 오일 [양념] 설탕 큰술 | 고춧가루. | 고추장. | 물. | 간장. | 마늘. | 올리고당. | 케첩,11,30,https://recipe1.ezmember.co.kr/cache/recipe/2016/10/25/5f9aa78293f3c2d67ddfdeba631bfecc1.jpg
5,24,참치비빔밥,비빔,일상,가공식품류,밥/죽/떡,[양념재료] 참치캔() | 고추장. | 고추가루 | 간장 | 설탕 | 올리고당 | 참기름 [밥재료] 밥 | 상추 | 김 | 계란,11,5,https://recipe1.ezmember.co.kr/cache/recipe/2018/10/21/1335f97aecdd8fb47d8c4502ec3830c91.jpg
7,25,계란찜,찜,일상,달걀/유제품,밑반찬,[재료] 계란 | 물,2,10,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/18/11d72b0a0935a446596d281ad924606f1.jpg
6,26,장칼국수,끓이기,일상,밀가루,면/만두,[필수 재료] 칼국수 면() | 물 | 감자 | 양파 | 애호박 | 대파 | 청양고추 [양념 재료] 고추장 | 된장 | 다진 마늘 | 고춧가루 | 국간장,12,30,https://recipe1.ezmember.co.kr/cache/recipe/2016/11/09/25a16b4281447589311e88d6157410ce1.png
6,27,스팸양배추덮밥,볶음,일상,채소류,밥/죽/떡,[재료] 양배추 | 양파 | 대파 | 스팸 | 땡초 [양념] 다진마늘 | 간장 | 굴소스 | 참기름 | 설탕 | 후추 | 물,12,10,https://recipe1.ezmember.co.kr/cache/recipe/2017/04/26/78f62ae9ce3063eb2cc280e0c112a6ed1.jpg
7,28,스팸양파덮밥,조림,초스피드,채소류,밥/죽/떡,[재료] 양파 | 스팸 | 계란 | 다진마늘 | 파 적당량 | 참깨 적당량 [양념재료] 간장 | 설탕 | 맛술 | 물,10,10,https://recipe1.ezmember.co.kr/cache/recipe/2018/06/27/ac1dbf84e93bba27a9e1c21597fab7e41.jpg
10,29,고추장참치볶음밥,볶음,초스피드,쌀,밥/죽/떡,[재료] 달걀 | 다진파 | 다진마늘 | 참치캔 | 간장 | 고추장 듬뿍 | 참기름 | 찬밥 | 김가루 조금 | 깨,10,10,https://recipe1.ezmember.co.kr/cache/recipe/2016/02/14/d57a00198311cae85f1db8ed7580e0a51.jpg
6,30,참치마요주먹밥,기타,도시락,가공식품류,밥/죽/떡,[재료] 햄 | 당근 | 양파 | 애호박 | 달걀 | 참치 [양념] 마요네즈 | 김가루,8,30,https://recipe1.ezmember.co.kr/cache/recipe/2015/04/24/6cac4d1e21087f8753c979dbcbb8e4ec1.jpg
6,31,허니버터고구마,굽기,간식,채소류,디저트,[재료] 고구마 | 버터 | 꿀 | 피자치즈,4,30,https://recipe1.ezmember.co.kr/cache/recipe/2019/05/07/59c2be1a139ada5c6c028db4e419eebb1.jpg
11,32,알리오올리오,볶음,일상,밀가루,면/만두,[필수재료] 스파게티면() | 소금 | 올리브유 | 마늘 | 페페론치노 | 올리브유 | 소금 약간 | 후추 약간 | 파슬리가루 약간 | 파마산치즈 가루 약간 | 면수,11,15,https://recipe1.ezmember.co.kr/cache/recipe/2016/08/31/0295117fe15e63e6f4a539588199d8651.png
11,33,클럽샌드위치,기타,도시락,밀가루,빵,[재료] 식빵 | 햄 | 계란 | 양파 | 토마토 | 양상추 [샌드위치스프레드] 마요네즈 | 머스타드 | 다진피클,9,30,https://recipe1.ezmember.co.kr/cache/recipe/2017/01/16/3289abee95cd9f4c3635bdbd00c0d84f1.jpg
5,34,햄치즈토스트,굽기,간식,밀가루,빵,[필수재료] 식빵 | 슬라이스햄 | 슬라이스치즈 | 캔 옥수수 | 달걀 | 버터 [소스재료] 시판 키위 드레싱 | 마요네즈 | 올리고당 | 설탕,10,30,https://recipe1.ezmember.co.kr/cache/recipe/2017/04/07/7b3757f4d90955a59bd4cbd2ca2c01501.jpg
11,35,단호박죽,끓이기,간식,채소류,밥/죽/떡,[재료] 단호박 | 물+ | 찹쌀물 적당량 | 소금 약간 | 설탕 약간 | 대추 약간,6,15,https://recipe1.ezmember.co.kr/cache/recipe/2016/09/08/a047b3e567c97becae5c861272313e641.jpg
6,36,참치알리올리오볶음밥,볶음,초스피드,가공식품류,밥/죽/떡,[재료] 밥 | 마늘 | 참치 | 올리브유 약간 | 달걀 [양념] 소금 약간,6,15,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/07/08e763f260da46e353e842819b350ded1.jpg
6,37,가지덮밥,조림,일상,채소류,밥/죽/떡,[재료] 가지(약) [양념] 간장 | 설탕 | 청주 | 미림 | 물,6,15,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/15/58e91146070dace05c5a8cae64a352961.jpg
7,38,바질페스토파스타,볶음,초스피드,채소류,면/만두,[바질페스토파스타 재료] 바질페스토~ | 마늘~ | 스파게티면 | 페페론치노~ | 소금 조금 | 후추 조금 | 올리브오일,7,30,https://recipe1.ezmember.co.kr/cache/recipe/2016/04/05/106afa121b5a7c8abbd13febde6bafe91.jpg
4,39,매운팽이버섯조림,조림,술안주,채소류,메인반찬,[재료] 팽이버섯 [소스] 고추장 | 진간장 | 설탕 | 다진마늘 | 물,6,5,https://recipe1.ezmember.co.kr/cache/recipe/2020/03/08/7f30d319399045be9491fa710fc260a71.jpg
6,40,깻잎순나물볶음,볶음,초스피드,채소류,밑반찬,[재료] 깻잎순 | 국간장 | 들기름- | 소금 적당량 | 다진 마늘 | 통깨 적당량,6,15,https://recipe1.ezmember.co.kr/cache/recipe/2017/02/22/9027213bfeefb14f0ca7893e28060b291.jpg
8,41,연어덮밥,끓이기,손님접대,해물류,밥/죽/떡,[재료] 연어 | 양파 | 무순 | 생와사비 [양념] 간장 | 물 | 설탕 | 식초 | 마늘,9,30,https://recipe1.ezmember.co.kr/cache/recipe/2015/07/29/c8f9ce1528e09d9b426bc9c51469740c1.jpg
10,42,중국식계란볶음밥,볶음,일상,달걀/유제품,밥/죽/떡,[재료] 즉석밥 | 달걀 | 당근 | 대파 | 간장 | 소금 조금 | 후춧가루 조금 | 참기름 | 식용유 (종이컵) | 깨소금 (추가) 조금,10,10,https://recipe1.ezmember.co.kr/cache/recipe/2018/04/04/833880e807106a8288be48259b19c4031.jpg
5,43,차돌박이파스타,볶음,손님접대,가공식품류,면/만두,[재료] 차돌박이 | 양파 | 청량고추 | 홍고추 | 통마늘 [양념] 간장 | 굴소스 | 맛술 | 다진마늘 | 후추 약간,10,30,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/05/f898a7e9e03e179c2c6b7ad65fd946321.jpg
3,44,버터간장계란비빔밥,비빔,초스피드,달걀/유제품,밥/죽/떡,[재료] 밥 | 달걀 | 영양부추 약간 [양념] 버터(또는 마가린) | 간장+α,5,10,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/1d688234a1bba23368a77bc736694b9d.jpg
7,45,대패삼겹살덮밥,볶음,초스피드,돼지고기,밥/죽/떡,[재료] 대패삼겹살 | 양파 | 대파 [소스] 간장 | 설탕 | 청주 | 다진생강 | 후추 조금,8,5,https://recipe1.ezmember.co.kr/cache/recipe/2017/08/24/fa0fa49a3a1fb05dff98f4a576c196a71.jpg
7,46,볶음우동,볶음,일상,밀가루,면/만두,[재료] 우동면 | 양파 | 당근 | 양배추 개 | 칵테일새우(or햄)-,5,30,https://recipe1.ezmember.co.kr/cache/recipe/2017/10/28/ae7b7b5dfa73e428912521f2994089871.jpg
7,47,목살필라프,볶음,일상,돼지고기,밥/죽/떡,[재료] 목살 | 파프리카 | 양파 [양념] 굴소스 | 돈까스소스,5,10,https://recipe1.ezmember.co.kr/cache/recipe/2015/10/23/5232a3687a5417b22811ed1b7d9baf7b1.jpg
6,48,명란파스타,볶음,초스피드,밀가루,면/만두,[필수재료] 명란+ | 스파게티면 | 양파 | 통마늘 | 버터 [소스재료] 우유 | 간장 [선택재료] 채 썬 김 약간,8,30,https://recipe1.ezmember.co.kr/cache/recipe/2017/02/23/6444c89bc66bb3645a68e88c5fed1ab71.jpg
9,49,콩나물볶음밥,볶음,일상,채소류,밥/죽/떡,[재료] 콩나물 | 대파 | 다진햄 | 다진야채(기호껏) | 밥 | 계란 | 김가루 약간 [양념] 고추장 | 고춧가루 | 간장 | 설탕. | 맛술 | 다진마늘,13,15,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/09/9a0538a5008e9a59278fa0ffa5fdb0201.jpg
5,50,깻잎쌈밥,기타,도시락,쌀,밥/죽/떡,[필수재료] 깻잎 | 밥 | 소금 약간 | 참기름 [양념재료] 캔 참치 | 된장 | 고추장 | 참기름 | 참깨,9,30,https://recipe1.ezmember.co.kr/cache/recipe/2017/03/30/a86db66487d9f0c510c2753d1809afd41.jpg
4,51,달걀죽,끓이기,영양식,달걀/유제품,밥/죽/떡,[재료] 달걀 | 밥 | 송송 썬 파 | 국간장 | 소금 | 참기름 | 참깨 [육수 재료] 건 멸치 | 건다시마 | 물,10,30,https://recipe1.ezmember.co.kr/cache/recipe/2017/10/13/634494f5488d7b12f8cbb536964c5def1.jpg
5,52,콘치즈토스트,굽기,간식,밀가루,디저트,[재료] 식빵 | 캔옥수수 | 설탕 | 마요네즈 | 파슬리가루,5,10,https://recipe1.ezmember.co.kr/cache/recipe/2019/06/07/cd56011174e305838e5ed6b2da514a611.png
15,53,참치마요밥버거,비빔,영양식,쌀,밥/죽/떡,[재료] 밥 | 캔참치 | 단무지 | 김가루 | 배추김치 [참치마요네즈 양념재료] 마요네즈 | 소금 | 설탕 | 깨소금 [밥 양념 재료] 소금 | 깨소금 | 참기름 [볶음김치 양념 재료] 들기름 또는 참기름 | 간장 | 설탕 | 고춧가루,16,15,https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/88af7cf11feb8f2f1ccd8dd1a00b4cf41.jpg
6,54,소세지꽃주먹밥,삶기,도시락,가공식품류,밥/죽/떡,[재료] 통통소세지 | 양파 | 당근 | 애호박 | 밥 | 소금 | 참기름,7,15,https://recipe1.ezmember.co.kr/cache/recipe/2016/05/18/5070f5c55076ca66ceef663729163d1d1.jpg
6,55,표고버섯달걀죽,끓이기,일상,버섯류,밥/죽/떡,[재료] 표고버섯 | 달걀 | 밥 | 멸치육수 | 참기름 | 국간장 | 소금,7,30,https://recipe1.ezmember.co.kr/cache/recipe/2016/09/28/157b854b882f1d91780e8b7893a379e61.jpg
3,56,간장국수,비빔,일상,가공식품류,면/만두,[필수재료] 국수 | 김 가루 약간 [양념재료] 간장 | 설탕 | 참기름 [선택재료] 쪽파,6,30,https://recipe1.ezmember.co.kr/cache/recipe/2017/03/24/539ddadd1420847be6484fa1653a7c561.jpg
7,57,만두볶음밥,볶음,초스피드,가공식품류,밥/죽/떡,[재료] 만두 | 밥 | 다진 마늘 | 식용유 정도 | 굴소스~취향껏 | 참기름 | 통깨 적당량 | 후추 약간,8,10,https://recipe1.ezmember.co.kr/cache/recipe/2018/02/26/a291ca97e43f3c607d18b9caa4154e7c1.jpg
5,58,전주콩나물국밥,끓이기,해장,채소류,밥/죽/떡,[재료] 콩나물 | 밥 | 멸치육수 | 계란 | 대파 | 홍고추 [콩나물무침 양념] 국간장 | 고춧가루 | 소금 | 다진파 | 마늘 [국밥 양념] 새우젓 | 깨소금 약간 | 참기름 약간,14,30,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/27/decc5c8c0608f42f93701694ba541081.jpg
4,59,장어구이,굽기,영양식,해물류,메인반찬,[재료] ?장어 | 생강채 | 무순 [고추장소스] 고추장 | 고운 고춧가루 | 설탕 | 올리고당 | 간장 | 파 | 마늘 | 맛술 | 파 | 마늘 | 생강 | 후추 | 참기름,16,15,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/24/d39ea1293104050357cf96d0e0f5ae981.jpg
6,60,잡채덮밥,볶음,일상,쌀,밥/죽/떡,[재료] 당면 동전 사이즈정도의 묶음 | 양배추- | 맛타리버섯 | 파프리카 | 숙주 [양념장] 고추장 | 고춧가루- | 간장 | 청주 | 굴소스. | 참기름 | 다진마늘 | 다진고추 | 다진파 | 올리고당,15,10,https://recipe1.ezmember.co.kr/cache/recipe/2017/03/27/74be1943e9e1a2793b269da597ee84f21.jpg
7,61,고구마보관,기타,간식,채소류,기타,[재료] 고구마 대량,1,5,https://recipe1.ezmember.co.kr/cache/recipe/2021/10/28/5d2639b045952431fe6ee245ad8601d81.jpg
9,62,간장기름떡볶이,볶음,간식,쌀,밥/죽/떡,[재료] 떡볶이떡 [양념] 간장 | 꿀 | 검정 통깨 | 참기름 | 식용유,6,10,https://recipe1.ezmember.co.kr/cache/recipe/2015/12/04/2a0ce6acf743cf8890061ae74efa6ac61.jpg
10,63,열무비빔밥,비빔,일상,채소류,밥/죽/떡,[재료] 밥 | 열무 | 참치캔(제일작은사이즈) | 계란 [양념재료] 고추장 | 참기름 | 올리고당 | 깨 | 마늘 | 간장,10,10,https://recipe1.ezmember.co.kr/cache/recipe/2017/06/22/953f0774568fb7c1ccde8af812aec57a1.jpg
12,64,양파손질,기타,일상,채소류,기타,[재료] 양파 적당량,1,5,https://recipe1.ezmember.co.kr/cache/recipe/2021/10/28/84d854b9b8907ce1518678b860480d401.jpg
6,65,양파간장소스,비빔,초스피드,채소류,양념/소스/잼,[재료] 양파 작은것 | 부추 약간 [양념] 겨자 | 간장 | 설탕 | 식초 | 물,7,10,https://recipe1.ezmember.co.kr/cache/recipe/2018/12/01/e7e13525ff58288c11525a4bccf5e07e1.jpg
4,66,바나나팬케이크,굽기,다이어트,달걀/유제품,빵,[재료] 바나나 | 달걀 [양념] 시럽 적당량,3,5,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/08/eb9a1e77ad94fa38a4dfbabdaf37dde81.jpg
8,67,쌀미음,끓이기,이유식,곡류,밥/죽/떡,[재료] 쌀 | 물,2,30,https://recipe1.ezmember.co.kr/cache/recipe/2015/07/10/76b20d79812928dc8a7556678f07c44c.jpg
14,68,볶음라면,볶음,일상,가공식품류,면/만두,[재료] 라면 | 스프 | 대파 | 올리브유,4,5,https://recipe1.ezmember.co.kr/cache/recipe/2017/01/24/bd000dd0484d75659b4c20ddaf7b20871.jpg
6,69,마늘볶음밥,볶음,초스피드,채소류,밥/죽/떡,[재료] 통마늘 | 다진 마늘 큰술 | 식용유 큰술 | 버터 큰술 | 진간장 큰술 | 소금 약간,6,15,https://recipe1.ezmember.co.kr/cache/recipe/2019/03/26/cc320ce3bf4477b514b8b4edb7dca9521.jpg
9,70,전자렌지계란찜밥,기타,초스피드,달걀/유제품,밥/죽/떡,[재료] 달걀 | 물 | 치즈 | 대파 약간 | 밥 [양념] 맛소금. | 후추톡톡,7,10,https://recipe1.ezmember.co.kr/cache/recipe/2017/04/10/4ca0f4aa3de200d974a0ba761133c66e1.jpg
5,71,갈릭치즈토스트,굽기,간식,밀가루,디저트,[재료] 식빵 | 체다치즈 | 모짜렐라 치즈 넉넉히 [마늘빵소스] 버터 | 다진마늘 | 설탕 | 파슬리가루,7,10,https://recipe1.ezmember.co.kr/cache/recipe/2019/01/20/37853531cbd9afdba74372aa15f0df2a1.jpg
7,72,굴소스카레볶음밥,볶음,일상,채소류,밥/죽/떡,[재료] 양파 | 당근 조금 | 호박 조금 | 청양고추 | 햄 조금 | 계란 [양념] 굴소스 | 카레,8,30,https://recipe1.ezmember.co.kr/cache/recipe/2015/11/08/a83aa4ef0018c0b65505410770569e091.jpg
6,73,스파게티삶는법,삶기,일상,밀가루,기타,[재료] 면 | 물 [양념] 소금 | 올리브유,4,30,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/26/3e32c15040a57147709699f99bb960b31.jpg
3,74,당면삶는법,끓이기,초스피드,가공식품류,기타,[필수 재료] 당면,1,10,https://recipe1.ezmember.co.kr/cache/recipe/2021/10/28/1f98a6ae002fc2974a206a45364b6c451.jpg
9,75,쏘야볶음,볶음,술안주,가공식품류,밑반찬,[소시지 복음 재료] 비엔나소시지~ | 양파 | 파프리카 | 청양고추 | 브로콜리 약간 | 다진마늘 | 식용유 약간 [소스 재료] 케첩 | 굴 소스 | 올리고당 | 물 | 후춧가루 약간 | 핫소스,13,10,https://recipe1.ezmember.co.kr/cache/recipe/2017/03/02/65b6f4ab3e3004e83317e38ec3bcb6741.jpg
4,76,계란프렌치토스트,부침,초스피드,밀가루,빵,[재료] 식빵 | 계란 | 치즈 [양념] 딸기잼 | 식용유,5,10,https://recipe1.ezmember.co.kr/cache/recipe/2015/07/14/d8ac127302d4c58e93a6ab576adc1e5f1.jpg
6,77,연두부,기타,초스피드,콩/견과류,밑반찬,[재료] 연두부 [양념장] 다진파 | 다진 청양고추 | 다진 마늘 | 간장~ | 고춧가루 조금 | 깨소금 조금 | 참기름,8,5,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/13/1a2d27dc33295f34df4e4bed6e6ed3ac1.jpg
7,78,양파계란덮밥,볶음,초스피드,채소류,밥/죽/떡,[재료] 양파 | 계란 | 대파 | 밥 [양념] 간장 | 맛술 | 설탕 | 물,8,15,https://recipe1.ezmember.co.kr/cache/recipe/2018/05/10/dcb6e75a70f172c16691ada8e3d7e62a1.jpg
6,79,딸기잼롤,기타,간식,밀가루,디저트,[재료] 식빵 [양념] 딸기잼 | 달걀 | 슈가파우더 약간 | 버터.,5,30,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/02/2a63ade5aad6e00b0d46a341ccfe19bf1.jpg
11,80,단호박찜,찜,초스피드,채소류,메인반찬,[재료] 단호박 | 꿀 | 비닐팩,3,15,https://recipe1.ezmember.co.kr/cache/recipe/2015/12/17/dd35e476e17b5e9b029584315a3020d31.jpg
5,81,아보카도명란비빔밥,비빔,영양식,과일류,밥/죽/떡,[재료] 아보카도 큰거 | 명란젓 | 계란 | 연와사비 엄지손톱만큼 | 간장 | 참기름,6,15,https://recipe1.ezmember.co.kr/cache/recipe/2017/06/22/077d9c2a9dcd2a9153ee8b6e5f3cf1361.jpg
9,82,계란덮밥,끓이기,초스피드,달걀/유제품,밥/죽/떡,[재료] 밥 | 물 | 양조간장 | 스톡이나 굴소스 | 맛술 | 전분 | 식초 | 계란 | 크래미맛살~ | 다진파 약간 | 소금 약간 | 식용유 약간,12,15,https://recipe1.ezmember.co.kr/cache/recipe/2015/12/08/4c0e6eef4d85dde6b34a5d1228cd09961.jpg
6,83,양배추베이컨볶음밥,볶음,일상,쌀,밥/죽/떡,[필수재료] 양배추 | 베이컨 | 대파 | 빨간파프리카 | 밥 | 달걀 | 양파 [양념재료] 간장 | 굴소스 | 후추 약간,10,30,https://recipe1.ezmember.co.kr/cache/recipe/2018/06/08/44f26bf78c63d132c400df9d62af51c11.jpg
13,84,크래미게살볶음밥,볶음,일상,쌀,밥/죽/떡,[재료] 밥(또는) | 크래미(또는) | 계란 | 굴소스(또는) | 대파 약간 | 식용유 적당량,6,15,https://recipe1.ezmember.co.kr/cache/recipe/2018/02/13/4eb5e70436a819ade7a28a7f9dc46eb51.jpg
7,85,새우젓순두부찌개,끓이기,초스피드,콩/견과류,찌개,[재료] 다진마늘 | 양파 | 대파 | 참기름 | 식용유 | 고추가루 | 순 두부 | 새우젓 | 다시마 멸치육수 | 계란 취향껏,10,15,https://recipe1.ezmember.co.kr/cache/recipe/2019/05/24/f56ee3d5932867ce905c38973364ab831.jpg
6,86,양파볶음,볶음,일상,채소류,밑반찬,[재료] 햇양파 [양념] 식용유 | 참기름 | 간장,4,5,https://recipe1.ezmember.co.kr/cache/recipe/2017/05/10/84b2ce48e056768e6097fa825d9982b11.jpg
3,87,김치콩나물해장국,끓이기,일상,채소류,국/탕,[재료] 콩나물 | 신김치 | 떡국떡 약간 | 멸치육수+ | 대파 | 다진마늘 | 밥 | 달걀 [양념] 새우젓,9,30,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/19/7a4bba52fe1010116b783ce9a88438c9.jpg
10,88,가츠동,기타,일상,돼지고기,밥/죽/떡,[재료] 돈까스 | 대파 | 양파 | 계란 | 밥 [양념] 쯔유 | 물 | 식용유 적당량,8,10,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/17/26210543ee5cb9c9f76e6f161403263c1.jpg
6,89,연두부달걀덮밥,볶음,일상,달걀/유제품,밥/죽/떡,[필수재료] 달걀 | 연두부 | 쪽파 | 슬라이스 치즈 | 밥 [양념재료] 소금 약간 | 후추 약간 | 참기름 | 참깨 약간 [선택재료] 간장,10,10,https://recipe1.ezmember.co.kr/cache/recipe/2016/11/29/93a6ce7e076999eabed05af1116ef7761.jpg
